Designator,Footprint,Quantity,Value
C1,805,1,100nF
"C10, C11, C12",805,3,1uF
C13,805,1,15nF
"C15, C22",805,2,220pF
"C16, C4",805,2,100nF
C17,805,1,10uF
C18,805,1,0.1uF
C20,1210,1,47uF
C21,CP_Elec_6.3x5.8,1,470uF
"C6, C9",805,2,5.6pF
"D10, D11, D4, D6, D7",D_SOD-123,5,1N5817
D12,D_SMB,1,B230
D3,805,1,Status LED
D5,D_SMA,1,SS24
J1,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Omron D6F
J11,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,DISP
J12,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise
J13,PinHeader_1x02_P2.54mm_Vertical,1,5V Ext
J15,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Jack-DC
"J16, J18, J19, J20",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,4,Conn_01x04
J17,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,12V Header for  non pwm pump
J2,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,i2c opt
J3,PinHeader_1x02_P2.54mm_Vertical,1,3.3V Header
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Pump 5V Header NONPWM
J6,PinSocket_2x20_P2.54mm_Vertical,1,Raspberry_Pi_2_3
J7,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,heater/fan
J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03
L2,L_Bourns_SRP7028A_7.3x6.6mm,1,15uH
"Q3, Q7, Q8",SOT-23,3,MMBT3904
"Q4, Q5, Q6",SOT-23,3,AO3400A
"R1, R2, R7",805,3,3k3
"R11, R6",805,2,5K
"R12, R13",805,2,100R
R14,805,1,10k2R
R15,805,1,1k7
"R19, R4",805,2,150
"R20, R21",805,2,75
"R22, R25, R5",805,3,10k
"R23, R24",805,2,68
"R26, R27",805,2,100k
R3,805,1,5
R8,805,1,30.9K
SW1,PinHeader_2x01_P2.54mm_Vertical,1,Button
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6022
U3,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x
U4,SSOP-20_3.9x8.7mm_P0.635mm,1,ADS8344N
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm,1,TPS54233
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP1501-40xSN
