bcmDate;bcmTime;bcmRef;bcmSen;bcmATN;relativeLoad;BCngm3;Temperature;flag;rawSen

21-06-24;09:19:34;20752;12816;-48;5.831;114.4821648;1;U;12816
21-06-24;09:24:34;20690;12805;-48;10.040;197.1317182;1;U;12805
21-06-24;09:29:34;20632;12808;-48;14.313;281.0320229;1;U;12808
21-06-24;09:34:34;20581;12804;-47;10.177;199.8233017;1;U;12804
21-06-24;09:39:34;20524;12810;-47;15.256;299.5490865;1;U;12810
21-06-24;09:44:34;20451;12815;-47;18.604;365.2929305;1;U;12815
21-06-24;09:49:34;20364;12818;-46;21.163;415.5419969;1;U;12818
21-06-24;09:54:34;20312;12839;-46;19.735;387.5036419;1;U;12839
21-06-24;09:59:34;20256;12838;-46;12.625;247.9000937;1;U;12838
21-06-24;10:04:34;20218;12850;-45;13.233;259.8316742;1;U;12850
21-06-24;10:09:34;20185;12850;-45;7.687;150.9389673;1;U;12850
21-06-24;10:14:34;20148;12856;-45;10.831;212.6621235;1;U;12856
21-06-24;10:19:34;20089;12859;-45;14.899;292.5333876;1;U;12859
21-06-24;10:24:34;20035;12876;-44;18.884;370.7832981;1;U;12876
21-06-24;10:29:34;19988;12884;-44;13.975;274.4059805;1;U;12884
21-06-24;10:34:34;19949;12878;-44;6.999;137.4238298;1;U;12878
21-06-24;10:39:34;19918;12883;-44;9.145;179.5655775;1;U;12883
21-06-24;10:44:34;19860;12888;-43;15.549;305.3092101;1;U;12888
21-06-24;10:49:34;19772;12888;-43;20.898;410.3347976;1;U;12888
21-06-24;10:54:34;19745;12903;-43;11.904;233.743484;1;U;12903
21-06-24;10:59:34;19708;12890;-42;4.083;80.16831987;1;C;12890
21-06-24;11:04:34;19670;12893;-42;10.178;199.835208;1;U;12893
21-06-24;11:09:34;19639;12898;-42;9.247;181.5636745;1;U;12898
21-06-24;11:14:34;19608;12899;-42;7.799;153.1311406;1;U;12899
21-06-24;11:19:34;19568;12903;-42;11.069;217.3354507;1;U;12903
21-06-24;11:24:34;19537;12911;-41;10.378;203.7686945;1;U;12911
21-06-24;11:29:34;19485;12903;-41;9.625;188.9895373;1;U;12903
21-06-24;11:34:34;19419;12905;-41;16.696;327.8308538;1;U;12905
21-06-24;11:39:34;19388;12902;-41;6.424;126.1400444;1;U;12902
21-06-24;11:44:34;19357;12907;-41;9.354;183.6601457;1;U;12907
21-06-24;11:49:34;19323;12908;-40;8.638;169.5988117;1;U;12908
21-06-24;11:54:34;19270;12916;-40;15.841;311.0354609;1;U;12916
21-06-24;11:59:34;19234;12906;-40;5.155;101.2149777;1;U;12906
21-06-24;12:04:34;19199;12901;-40;6.748;132.4883704;1;U;12901
21-06-24;12:09:34;19168;12901;-40;7.605;149.3155016;1;U;12901
21-06-24;12:14:34;19130;12896;-39;7.514;147.5436518;1;U;12896
21-06-24;12:19:34;19099;12897;-39;7.997;157.0192225;1;U;12897
21-06-24;12:24:34;19064;12908;-39;12.644;248.258434;1;U;12908
21-06-24;12:29:34;19033;12901;-39;5.106;100.2517923;1;U;12901
21-06-24;12:34:34;18984;12897;-39;10.672;209.5344367;1;U;12897
21-06-24;12:39:34;18944;12896;-38;9.561;187.7304903;1;U;12896
